ID,Well Name
4035.007,Aaron #1
1825.003,Allen #1
4625.001,Anhaiser #1
4035.004,Aniken #1
3855.014,Anna Louisa #1
9450.003,Annpick #1
6725.001,Barrier #1
4035.006,Beeler Ranch #1
9750.002,Bermuda #1
7450.008,Betty #1
9555.005,Big Sonny #1
9455.008,Blackmon #1
9555.001,Blas Reyes #1
9430.009,BMMP #1
7450.004,Bond #1
8450.002,Bowman #1
8350.005,Box #1
3855.005,Branton #1
8045.001,Buck #1
3850.001,Cannan #1
9455.003,Carolpick #1
3855.012,Carolyn #1
3850.018,Caza #1
3855.002,Cenizo #1
9455.011,Chad #1
6725.002,Charles B #1
8350.001,Circle T #1
5825.001,Clayton #1
9450.009,Cornett #1
9430.001,CR #101
9430.002,CR #201
9430.003,CR #301
9430.006,CR #302
9430.004,CR #401
9430.005,CR #501
1825.005,Cross S #1
9125.001,CT #1
9455.005,Dale #1
3850.024,Dial #1
9555.002,Dillard #1
3850.017,Dunkle #1
3850.026,Dunkle #2
8650.009,Dunlap #1
9450.001,Dyess #1
9455.007,Eileen #1
8350.012,Elaine #1
8350.01,Evergreen #1
3850.013,FGP #1
9450.006,Flower #1
8350.002,Flying G #1
9455.009,Gail #1
8350.003,Gil #1
1825.006,Grissom #1
3850.02,Haby #1
7450.009,Harold #1
8045.002,Heitz #1
3850.016,Huber #1
8045.005,J Beeler #1
9455.001,Jessica #1
8045.004,JJ #1
3850.015,Joe #1
9455.014,Joseph #1
5825.002,Jred #1
3855.016,Kay #1
9455.002,Kiley #1
9425.001,Kincaid #1
3855.003,Kirby #1
3855.015,Kleimann #1
3855.022,Kleimann #3
8650.001,La Rosita #1
3855.017,Lackey Five #1
9455.012,Lander #1
7450.006,Lansford #1
3850.011,Leary Trust #1
9450.012,Lisa #1
9125.006,Lochte #1
3855.007,LT #1
4025.002,Marguerite #1
4025.004,Marpick #1
3850.008,McLean #1
3855.024,MDB #1
9750.001,Molak #1
3925.001,Montemayor #1
8350.009,Moreland #1
8350.008,Opa #1
3855.006,Palm #1
3855.011,Parkway #1
3855.001,PC #1
3855.009,Pecan Grove #1
4035.003,Pfeiffer #1
9450.002,Pickens #1
0,Pickens Ranch #2H
9455.013,Pickens Weaver #1
9450.008,Pickwill #1
3855.004,Preston #1
3850.019,Pritchett #1
7125.002,Rhodes #1
4035.005,Richard #1
8650.008,Richardson #1
3850.022,Rio Nueces #1
9450.011,Ronald #1
9555.004,Russell #1
8650.007,Ruth #1
9455.004,Ruthpick #1
1825.002,Solansky #1
8650.004,Sugarland #1
8350.011,Tebo #1
7450.005,Teel #1
8350.006,Thalmann #1
3850.003,Thompson #1
3850.005,Thompson #2
3855.025,Thuss #1
3850.012,Tlapek #1
8725.TOR,Tortuga Ranch #1H
3850.004,Triple J #1
3850.006,Triple J #2
9050.001,Triplitt Unit #1H
8650.006,Trotter #1
3855.01,Vermillion #1
8650.005,Verna #1
9125.004,VRE Minerals #1
3850.002,Wagner Farms #1
3855.008,White Marlin #1
3855.013,Whittington #1
1825.004,Woodward #1
