WELL_ID,Well
4035.007,AARON #1
4035.004,ANIKEN #1
3855.014,ANNA LOUISA #1
9450.003,ANNPICK #1
6725.001,BARRIER #1
4035.006,BEELER RANCH #1
9750.002,BERMUDA #1
7450.008,BETTY #1
9555.005,BIG SONNY #1
9455.008,BLACKMON #1
9555.001,BLAS REYES #1
7450.004,BOND #1
8350.005,BOX #1
3855.005,BRANTON #1
3850.001,CANNAN #1
9455.003,CAROLPICK #1
3855.012,CAROLYN #1
3855.002,CENIZO #1
9455.011,CHAD #1
6725.002,CHARLES B #1
8350.001,CIRCLE T #1
9450.009,CORNETT #1
9430.002,CR #201
9430.003,CR #301
9430.006,CR #302
9430.005,CR #501
1825.005,CROSS S #1
9125.001,CT #1
9455.005,DALE #1
3850.024,DIAL #1
9555.002,DILLARD #1
3850.026,DUNKLE #2
8650.009,DUNLAP #1
9450.001,DYESS #1
9455.007,EILEEN #1
8350.010,EVERGREEN #1
9450.006,FLOWER #1
8350.002,FLYING G #1
9455.009,GAIL #1
8350.003,GIL #1
1825.006,GRISSOM #1
3850.020,HABY #1
3850.016,HUBER #1
8045.005,J BEELER
9455.001,JESSICA #1
8045.004,JJ #1
3850.015,JOE #1
9455.014,JOSEPH #1
5825.002,JRED #1
3855.016,KAY #1
9455.002,KILEY #1
9425.001,KINCAID #1
3855.003,KIRBY #1
3855.015,KLEIMANN #1
3855.022,KLEIMANN #3
3855.017,LA ROSITA
9455.012,LACKEY FIVE #1
7450.006,LANDER #1
8650.001,LANSFORD #1
3850.011,LEARY TRUST #1
3855.007,LT #1
4025.002,MARGUERITE #1
4025.004,MARPICK #1
3855.024,MCLEAN #1
3850.006,MDB #1
9750.001,MOLAK #1
3925.001,MONTEMAYOR #1
8350.009,MORELAND #1
3855.006,PALM #1
3855.011,PARKWAY #1
3855.001,PC #1
3855.009,PECAN GROVE #1
4035.003,PFEIFFER #1
9450.002,PICKENS #1
9455.013,PICKENS WEAVER
9450.008,PICKWILL #1
3855.004,PRESTON #1
7125.002,RHODES #1
4035.005,RICHARD #1
8650.008,RICHARDSON #1
9450.011,RONALD #1
9555.004,RUSSELL #1
8650.007,RUTH #1
9455.004,RUTHPICK #1
1825.002,SOLANSKY #1
8650.004,SUGARLAND #1
8350.006,THALMANN #1
3850.003,THOMPSON #1
3850.005,THOMPSON #2
3855.025,THUSS #1
3850.012,TLAPEK #1
8725.TOR,TORTUGA RANCH #1H
3850.006,TRIPLE J #2
8650.006,TROTTER #1
3855.01,VERMILLION #1
8650.005,VERNA #1
3855.008,WHITE MARLIN #1
3855.013,WHITTINGTON
